StarID	Hip	ProperName	RA	Dec	Mag
69661	96316		19.58367593	52.5021014	6.39
69670	96339	 	19.58508772	8.46087333	10.38
69671	96327	 	19.58534812	-10.56043644	5.12
69672	96328		19.58540295	34.19986351	7.48
69673	96329		19.58544585	19.00499804	6.82
69674	96330		19.58553962	22.15860009	7.41
69676	96334		19.58603502	-69.9751538	7.89
69677	96335		19.58616833	74.37744727	6.97
69682	96341	 	19.58694271	-48.09911061	4.88
69684	96345		19.58795396	-69.09297072	8.16
69687	96348		19.58940125	34.6880042	7.14
69688	96350		19.59004615	69.80542694	7.03
69689	96351	 	19.59031267	2.91347598	6.37
69691	96353		19.59089512	15.61056859	6.55
69692	96356	 	19.59160884	-7.46018539	6.32
69695	96359		19.59216566	53.54576599	7.38
69697	96361		19.5921878	-41.12111673	7.24
69698	96362		19.59222406	31.27664012	7.46
69701	96365	 	19.59262887	-12.25306622	6.27
69705	96370		19.5932564	-20.78168328	6.74
69718	96387	 	19.59675039	36.9445432	6.03
69722	96392		19.597439	-2.4555969	6.99
69724	96395		19.59878142	56.98438763	6.73
69725	96396	 	19.59887456	50.23852891	6.47
69728	96399		19.59922507	-53.00796334	6.71
69731	96402		19.60018368	0.09212239	7.55
69732	96403		19.60027645	0.24967349	7.16
69734	96406	 	19.60045817	-24.71901737	5.64
69738	96411		19.60152723	33.74616239	7.45
69741	96415		19.60207069	35.21365289	6.75
69742	96416	 	19.602233	11.15017937	6.7
69743	96417	 	19.6023194	22.58578091	6.33
69744	96418		19.60241352	-46.15128421	7.18
69746	96420		19.60323589	12.16163891	6.72
69749	96423		19.60350385	6.00744919	6.62
69751	96426		19.6041109	-47.94745593	10.21
69752	96425		19.60416522	-81.24739364	8.46
69753	96428	 	19.60435499	14.39117275	6.37
69754	96430		19.60469548	33.46140331	7.32
69755	96434		19.60638412	15.89218485	7.12
69760	96440	 	19.60723936	-18.85289016	6.13
69761	96441	 	19.60737289	50.22046347	4.48
69767	96448		19.6089661	41.00973922	7.45
69768	96449		19.60900551	43.70612391	6.6
69771	96453		19.61002035	-32.69085841	6.9
69773	96457		19.61042893	48.51632255	7
69774	96458	 	19.61048007	20.33294892	7.01
69775	96459	 	19.61057074	44.69518822	5.17
69780	96465	 	19.61177473	-24.88356664	4.59
69783	96468	 	19.61202126	-1.28655047	4.36
69786	96471	 	19.61272597	-10.44276795	8.58
69791	96479		19.61409229	-10.15744473	6.77
69794	96481	 	19.61456861	11.27319815	5.98
69795	96483	 	19.61484682	-7.02747069	4.93
69798	96491	 	19.61573497	38.38382946	6.51
69801	96495		19.61728506	-13.1729588	7.05
69802	96496	 	19.61759294	-18.23101861	5.66
69805	96499		19.61849804	22.00595088	6.92
69808	96503	 	19.61933829	29.33371247	6.43
69811	96506		19.61973645	-14.43128113	7.08
69812	96507		19.61993392	28.50006016	6.67
69817	96516	 	19.62149533	16.46276921	5.67
69818	96517		19.6215529	38.59419311	6.93
69823	96523		19.62271436	26.35908214	7.46
69824	96524		19.62318031	18.97654009	6.67
69829	96530		19.62496726	29.61508307	7.44
69830	96533		19.62560701	54.95786603	7.29
69831	96534		19.62595686	-0.12931757	7.31
69833	96536	 	19.62624352	-14.30144432	5.47
69841	96546		19.62800592	35.0225612	6.44
69846	96551		19.62880857	-5.06175154	7.47
69848	96556	 	19.62979344	-4.64750966	5.45
69849	96558		19.6301616	-13.95633792	6.86
69852	96561		19.63102462	43.62596023	8.98
69858	96567		19.63150533	1.49926622	7.31
69861	96571		19.63223046	18.59248247	7.14
69863	96572	 	19.63241138	49.2840624	6.47
69866	96576	 	19.63313672	33.89314808	7.47
69867	96577		19.63345697	-32.91273014	6.86
69868	96579		19.63373996	35.25909214	6.55
69875	96588		19.63602561	17.24322687	6.93
69876	96590		19.63630152	-63.91545917	7.45
69881	96595		19.63654224	51.23579729	7.21
69884	96601	 	19.63827617	20.78347323	6.5
69886	96603		19.63935659	0.34544615	7.22
69889	96607	 	19.64053339	-57.98318819	6.19
69890	96608		19.64096678	17.25725269	7.45
69892	96610		19.64144486	-65.91423825	6.79
69898	96617		19.64397621	23.04234093	7.29
69900	96619		19.64426863	32.40609788	7.21
